"","pathway","tg_c","z","vpdo","cao","oao","paro","q0_response","q0_intercept","q0","beta","theta","lma","given_lma","f","patm","par","vpd","ca","oa","km","gammastar","chi","given_chi","ci","mc","m","omega","omega_star","Al","kp","kr","ko","Ap","leakage","cbs","chi_bs","obs","Ac","jmax","vpmax","vcmax","jmax25","vpmax25","vcmax25","nrubisco","nbioe","npep","nstructure","nall","nphoto","nrubisco_frac","nphoto_frac","elevation"
"1","C3",25,5000,1,294.4,209460,800,"yes",-0.0805,0.257,146,0.85,1278.38974238774,"no",0.5,55243.0892759575,908,1.98589034540063,16.2635654828419,11571.2174797421,39.2008678450921,2.36183629650578,0.641143047273292,"no",10.427271933198,0.162517387770807,0.532338800577076,0.939830460827615,1.18649212386288,21.6751963603882,NA,NA,NA,0,NA,NA,NA,NA,21.6751963603882,219.315077016889,0,133.371552777823,219.315077016889,0,133.371552777823,0.418119817958476,0.17432736891086,0,2.54446595567715,3.13691314254648,0.592447186869337,0.13329021205192,0.188863114771613,"z = 5000 m"
"2","C3",25,5000,1,294.6,209460,800,"yes",-0.0805,0.257,146,0.85,1278.06290144293,"no",0.5,55243.0892759575,908,1.98589034540063,16.2746141006971,11571.2174797421,39.2008678450921,2.36183629650578,0.641101656876799,"no",10.4336820649874,0.162625545776178,0.532536577167302,0.940042707532569,1.18663677349729,21.685892698941,NA,NA,NA,0,NA,NA,NA,NA,21.685892698941,219.36460605897,0,133.34862364605,219.36460605897,0,133.34862364605,0.418047935130366,0.174366738149438,0,2.54382192645376,3.13623659973357,0.592414673279804,0.133296045064292,0.188893488880951,"z = 5000 m"
"3","C3",25,5000,1,294.8,209460,800,"yes",-0.0805,0.257,146,0.85,1277.73630051498,"no",0.5,55243.0892759575,908,1.98589034540063,16.2856627185523,11571.2174797421,39.2008678450921,2.36183629650578,0.641060322640952,"no",10.4400921967769,0.162733675848686,0.532734186546545,0.940254674431753,1.18678117882205,21.6965797245863,NA,NA,NA,0,NA,NA,NA,NA,21.6965797245863,219.414069806696,0,133.325690650289,219.414069806696,0,133.325690650289,0.417976040188656,0.174406055487374,0,2.54317836853044,3.13556046420647,0.59238209567603,0.133301859415566,0.188923831142241,"z = 5000 m"
"4","C3",25,5000,1,294.7,209460,800,"yes",-0.0805,0.257,146,0.85,1277.89957099338,"no",0.5,55243.0892759575,908,1.98589034540063,16.2801384096247,11571.2174797421,39.2008678450921,2.36183629650578,0.641080982745941,"no",10.4368871308821,0.162679614303364,0.532635402745041,0.9401487259203,1.1867090066586,21.6912373750765,NA,NA,NA,0,NA,NA,NA,NA,21.6912373750765,219.389346085857,0,133.337157627057,219.389346085857,0,133.337157627057,0.418011989160825,0.174386403299015,0,2.54350008861196,3.1358984810718,0.59239839245984,0.133298954568821,0.188908663987543,"z = 5000 m"
"5","C3",25,5000,1,294.8,209460,800,"yes",-0.0805,0.257,146,0.85,1277.73630051498,"no",0.5,55243.0892759575,908,1.98589034540063,16.2856627185523,11571.2174797421,39.2008678450921,2.36183629650578,0.641060322640952,"no",10.4400921967769,0.162733675848686,0.532734186546545,0.940254674431753,1.18678117882205,21.6965797245863,NA,NA,NA,0,NA,NA,NA,NA,21.6965797245863,219.414069806696,0,133.325690650289,219.414069806696,0,133.325690650289,0.417976040188656,0.174406055487374,0,2.54317836853044,3.13556046420647,0.59238209567603,0.133301859415566,0.188923831142241,"z = 5000 m"
"6","C3",25,5000,1,294.8,209460,800,"yes",-0.0805,0.257,146,0.85,1277.73630051498,"no",0.5,55243.0892759575,908,1.98589034540063,16.2856627185523,11571.2174797421,39.2008678450921,2.36183629650578,0.641060322640952,"no",10.4400921967769,0.162733675848686,0.532734186546545,0.940254674431753,1.18678117882205,21.6965797245863,NA,NA,NA,0,NA,NA,NA,NA,21.6965797245863,219.414069806696,0,133.325690650289,219.414069806696,0,133.325690650289,0.417976040188656,0.174406055487374,0,2.54317836853044,3.13556046420647,0.59238209567603,0.133301859415566,0.188923831142241,"z = 5000 m"
"7","C3",25,5000,1,294.9,209460,800,"yes",-0.0805,0.257,146,0.85,1277.57308997472,"no",0.5,55243.0892759575,908,1.98589034540063,16.2911870274799,11571.2174797421,39.2008678450921,2.36183629650578,0.641039676547564,"no",10.4432972626716,0.162787730413498,0.532832928598301,0.940360553141946,1.186853290067,21.7019197490698,NA,NA,NA,0,NA,NA,NA,NA,21.7019197490698,219.438777238992,0,133.314222723941,219.438777238992,0,133.314222723941,0.417940088239554,0.174425694728429,0,2.54285676614452,3.1352225491125,0.592365782967984,0.133304759611997,0.18893899035514,"z = 5000 m"
"8","C3",25,5000,1,294.9,209460,800,"yes",-0.0805,0.257,146,0.85,1277.57308997472,"no",0.5,55243.0892759575,908,1.98589034540063,16.2911870274799,11571.2174797421,39.2008678450921,2.36183629650578,0.641039676547564,"no",10.4432972626716,0.162787730413498,0.532832928598301,0.940360553141946,1.186853290067,21.7019197490698,NA,NA,NA,0,NA,NA,NA,NA,21.7019197490698,219.438777238992,0,133.314222723941,219.438777238992,0,133.314222723941,0.417940088239554,0.174425694728429,0,2.54285676614452,3.1352225491125,0.592365782967984,0.133304759611997,0.18893899035514,"z = 5000 m"
"9","C3",25,5000,1,294.9,209460,800,"yes",-0.0805,0.257,146,0.85,1277.57308997472,"no",0.5,55243.0892759575,908,1.98589034540063,16.2911870274799,11571.2174797421,39.2008678450921,2.36183629650578,0.641039676547564,"no",10.4432972626716,0.162787730413498,0.532832928598301,0.940360553141946,1.186853290067,21.7019197490698,NA,NA,NA,0,NA,NA,NA,NA,21.7019197490698,219.438777238992,0,133.314222723941,219.438777238992,0,133.314222723941,0.417940088239554,0.174425694728429,0,2.54285676614452,3.1352225491125,0.592365782967984,0.133304759611997,0.18893899035514,"z = 5000 m"
"10","C3",25,5000,1,295.3,209460,800,"yes",-0.0805,0.257,146,0.85,1276.92084653537,"no",0.5,55243.0892759575,908,1.98589034540063,16.3132842631903,11571.2174797421,39.2008678450921,2.36183629650578,0.640957232005324,"no",10.4561175262504,0.163003878894669,0.533227479836736,0.940783371466485,1.18714112744432,21.7232566286687,NA,NA,NA,0,NA,NA,NA,NA,21.7232566286687,219.537444431933,0,133.268341685942,219.537444431933,0,133.268341685942,0.417796251185429,0.174504122497177,0,2.54157153226515,3.13387190594775,0.592300373682606,0.133316314043499,0.188999547989975,"z = 5000 m"
